Species.name_(queried_GBIF),,reason_no_map,IUCN?,to_check,Range_source,Range_source_website,Range_description,Range_errors,Action,Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prochilodus scrofa,,,,,none,,,,excl.points,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proformica ferreri,,,,,antwiki,,Palaearctic Region: Iberian Peninsula; Spain (type locality).,only 1 point,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proformica longiseta,,,,,antwiki,,Palaearctic Region:_Iberian Peninsula;_Spain_(type locality).,too few points,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protobothrops mucrosquamatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178409,sparsely sampled,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protomognathus americanus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=18379,sparsely sampled,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protothaca thaca,,,,,www.macrofauna.cl/fi/Protothaca_thaca.html,,"Su distribuciÊn latitudinal seg_n çlamo & Valdivieso (1987), va desde Chicama (Per_) hasta el Archipi_lago de los Chonos (Chile)",Northern point falls a bit short of nothernmost described range but would probably keep,fine,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psammodromus algirus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=61558,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psammodromus hispanicus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=61560,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudacris cadaverina,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=55890,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudacris regilla,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=55897,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudacris triseriata,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=55899,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudechinus huttoni,,,,,Worms,,,remove points outside NZ,excl.points,marine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudechis porphyriacus,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; Queensland; South Australia; Victoria),remove isolated interor traingles,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudemoia entrecasteauxii,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; South Australia; Tasmania; Victoria),,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudemoia spenceri,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; Victoria),,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudocordylus melanotus,,,,,Reptile database,,Republic of South Africa (Free State; Gauteng and Mpumalanga Provinces)).,,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudonaja nuchalis,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; Northern Territory; Queensland; South Australia; Victoria; Western Australia),,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudonaja textilis,,NO GBIF,,,Reptile database,,Australia (New South Wales; Northern Territory; Queensland; South Australia; Victoria; Western Australia); Papua New Guinea ?,NO GBIF (spelling correct),remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudophryne bibroni,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=18581,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudophryne corroboree,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=18582,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudophryne dendyi,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=41187,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudopleuronectes americanus,,NO GBIF,,,Fishbase,,Western Atlantic: Labrador; Canada to Georgia; USA.,NO GBIF,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudotriton ruber,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59404,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ptenopus garrulus,,,,,Reptile database,,"Republic of South Africa (S Little-Namaqualand; Cape Province); Namibia; Botswana; Zimbabwe
maculatus: Southwest Africa; southern Damaraland; Great Namaqualand; Nw Cape Province (= Little Namaqualand); Type locality: Damaraland; Southwest Africa ",,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pternohyla fodiens,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=55907,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pungitius pungitius,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=18878,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramica rostrata,,,,,AntWiki,,Nearctic Region: United States (type locality).,few points for very general range description,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rana boyleri,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=19175,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rana cascadae,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=19176,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rana catesbeiana,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=58565,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rana clamitans,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=58578,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rana palmipes,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=58689,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rana palustris,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=58690,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rana pipiens,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=58695,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rana pretiosa,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=19179,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rana virgatipes,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=58747,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rana warszewitschii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=58749,gbif missing parts of range (Nicaragua),remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rankinia diemensis,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=176219,NO GBIF,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regina alleni,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=63884,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reticulitermes flavipes,,,,,Animal Diversity web,,R. flavipes_is found throughout the eastern United States; as faro north as the Mississippi and as far south as Mexico. It has been accidentally introduced to southern France.,too few points,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhaebo haematiticus,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=54660,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhinichthys atratulus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202361,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhinichthys cataractae,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=62204,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhinichthys cobitis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=39285,sparsely sampled,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhinichthys osculus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=62205,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhinocheilus lecontei,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=63909,NO GBIF,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivulus marmoratus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=19735,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabellastarte australiensis,,,,,Worms,,"type locality New Zealand Exclusive Economic Zone [from synonym] [view taxon] BR
Checked: verified by a taxonomic editortype locality Hawaiian Exclusive Economic Zone [from synonym] [view taxon] BR
Checked: verified by a taxonomic editortype locality Indian Exclusive Economic Zone [from synonym] [view taxon] BR
Checked: verified by a taxonomic editortype locality Japanese Exclusive Economic Zone [from synonym] [view taxon] BR
Checked: verified by a taxonomic editortype locality Mauritian Exclusive Economic Zone [from synonym] [view taxon] BR
Checked: verified by a taxonomic editortype locality Sri Lankan Exclusive Economic Zone [from synonym] [view taxon] BR
Checked: verified by a taxonomic editortype locality New South Wales [from synonym] [view taxon] BR
Checked: verified by a taxonomic editortype locality Philippines [from synonym] [view taxon] BR
FROM OTHER SOURCES
Indian Ocean
Unreviewed: has not been verified by a taxonomic editorIndian Ocean BR
Mozambique
Unreviewed: has not been verified by a taxonomic editorMozambique BR
Red Sea
Unreviewed: has not been verified by a taxonomic editorRed Sea BR
South Africa
Unreviewed: has not been verified by a taxonomic editorSouth Africa (country) BR",many points missing apparently,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saduria entomon,,,,,WoRMS,,"Black Sea
Trusted: edited by a thematic editorUkrainian part of the Black Sea (origin: alien) BR
FROM OTHER SOURCES
Baltic Sea
Unreviewed: has not been verified by a taxonomic editorPolish Exclusive Economic Zone BR
Beaufort Sea
Unreviewed: has not been verified by a taxonomic editorBeaufort Sea BR
Canada
Unreviewed: has not been verified by a taxonomic editorCanadian Exclusive Economic Zone [Arctic part] BR
Estonia
Unreviewed: has not been verified by a taxonomic editorMuuga harbour (Port of Tallinn; Gulf of Finland) BR
North Atlantic Ocean
Unreviewed: has not been verified by a taxonomic editorEuropean waters (ERMS scope) BR
Unreviewed: has not been verified by a taxonomic editorUnited Kingdom Exclusive Economic Zone [from synonym] [view taxon] BR","range includes coastal and inland clusters, cant reliably figure out which points to keep vs exclude",remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saiphos equalis,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,New South Wales; Queensland,points outside range,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmo salar,,GBIF>50K & have IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=19855,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmo trutta,,GBIF>50K & have IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=19861,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvelinus ontinalis,,NO GBIF,,,Fishbase,,"North America: most of eastern Canada from Newfoundland to western side of Hudson Bay; south in Atlantic, Great Lakes, and Mississippi River basins to Minnesota and northern Georgia in USA. South America: Argentina (Ref. 9086). Widely introduced in temperate regions of other continents. Several countries report adverse ecological impact after introduction.",NO GBIF,remove,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saproscincus basiliscus,,,,,Reptile database,,Australia (Queensland and New South Wales),,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saproscincus mustelina,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida,,Australia (New South Wales; Victoria),points outside range,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saproscincus tetradactyla,,,,,Cogger (ed) Reptiles & Amphibians of Australia. 2000 (First published 1975). Ralph Curtis publishing. Florida (under S tetradactylus),,Australia (Queensland),v small range,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardinops melanosticta,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=184056  ( This subspecies is found from primarily in temperate waters throughout the entire eastern Pacific (Parrish et al. 1989).,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauromalus obesus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64054,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaptodrosophila bryani,,,,,Globalspecies.org,,Widespread in Pacific area; from Samoa & Micronesia to Australia;,too few points,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaptodrosophila coracina,,NO GBIF,,,Globalspecies.org,,China; Korea; Borneo;,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaptodrosophila dorsocentralis,,NO GBIF,,,Globalspecies.org,,Ryukyu Is.;,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaptodrosophila pallida,,NO GBIF,,,none,,,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarus iseri,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=190732,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceloporus graciosus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64106,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceloporus grammicus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64107,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceloporus jarrovi,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64116,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceloporus magister,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64123,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceloporus malachiticus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=203072,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceloporus merriami,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64126,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceloporus occidentalis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64131,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceloporus undulatus,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64156,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceloporus variabilis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=198414,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sceloporus woodi,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=64160,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scelotes gronovii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=19955,sparsely sampled,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scinax staufferi,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=55997,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotina gracilipes,,,,,SRS British Spiders,,The species has a widespread but patchy and very scattered distribution; and is absent from many areas in Britain. It is widespread in north-western Europe.,,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semele corrugata,,,,,Worms,,West America,too few points,remove,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semele solida,,,,,http://www.macrofauna.cl/fi/Semele_solida.html,,Su distribuci_n latitudinal va desde el norte de Callao (Per_) hasta el Archipi_lago de los Chonos (Chile). En Chile el gradiente latitudinal (_S) va desde los 18_ a los 48_S. ,,fine,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semibalanus balanoides,,,,,WoRMS,,This species lives in the intertidal zones of the boreo-arctic regions of the Atlantic and Pacific oceans. http://iobis.org/mapper/?taxon=Semibalanus%20balanoides,huge parts of described range have no gbif points,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semotilus atromaculatus,,,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=202370,,remove.use.IUCN,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smilisca baudini,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=56006,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solenopsis invicta,,,,,AntWiki,,"Solenopsis invicta is a native of South America, centered on the Pantanal region found at the headwaters of the Paraguay River. ",too few pionts from native range (only 2),remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solenopsis molesta,,,,,AntWiki,https://www.landcareresearch.co.nz/__data/assets/pdf_file/0010/51031/25_000.pdf,"A wide range that includes southern areas of Canada, most of the continental US and northern Mexico.",missing northern edge of range (Canada),remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,,NO SP,,,none,,,no species name,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spea hammondii,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59045,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spea holbrooki,,NO GBIF,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=59042,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphaerium novaezelandiae,,NO GBIF,,,Worms,,New Zealand,NO GBIF,remove,freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphaerodactylus gaigeae,,,,,Reptile database,,Puerto Rico (Port d'Enfer; 5.5 km N Campeche); Vieques; Isla Pineros (wikipedia says also in guadelupe),only 3 points - remove,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphaerodactylus klauberi,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178241,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphaerodactylus macrolepis,,,,,Reptile database,,Puerto Rico (Isla Verde; Isla Pineros); Panama (Varagua); Antilles; Congo Key; St. Croix; Water; St. Thomas; St. John; Tortola; Virgin Gorda Ensenada Sun Bay (=Ensenada Sombe); Isla Vieques; Anegada Island; Anguilla; Dog Island; Green; Culebra; Great Camanoe; Guana,GBIF data missing lots of points on countries other than Puerto Rico,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphaerodactylus nicholsi,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=178301,,remove.use.IUCN,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphaerodactylus roosevelti,,,,,Reptile database,,SW Puerto Rico; Isla Cueva [HR 30: 111]; Vieques; Isla Caja de Muertos, few points but match range description,fine,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphaerodactylus townsendi,,,,,Reptile database,,Puerto Rico; Vieques; Caja de M.; Cuba,points missing in cuba/range is too small,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphenomorphus incognitus,,,,,Reptile database,,S China (incl. Hainan; westward to Hubei and Yunnan); Taiwan (Lanyu Island); Vietnam (Bac Giang),much of range missing,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphenomorphus indicus,,,,,Reptile database,,"S China (incl. Hainan; west to E Xizang = TIbet; north to Henan, Shaanxi,& Gansu; Guangdong: Nan Ao Island); Nepal; Bhutan; Myanmar; Taiwan; Thailand (likely in Bilauk Tuang mountain TAYLOR 1963: 1020); Vietnam; Cambodia;
India (Assam; Darjeeling; Sikkim; Mizoram) east to Indochina and south to W Malaysia; Laos
",,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphenomorphus taiwanensis,,,,,Reptile database,,C Taiwan,only 1 point,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphoeroides maculatus,,,Y,,IUCN & fishbase,,Western Atlantic: Newfoundland to northeastern Florida,no points at Norhter RL (nwfndlnd) remove carribean points,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spisula subtruncata,,,,,WoRMS,,"Algeria
Unreviewed: has not been verified by a taxonomic editor:Jijel  BR
Belgium
Unreviewed: has not been verified by a taxonomic editor:De Haan BR
Unreviewed: has not been verified by a taxonomic editor:De Panne BR
Unreviewed: has not been verified by a taxonomic editor:Koksijde BR
Unreviewed: has not been verified by a taxonomic editor:Oostduinkerke BR
Unreviewed: has not been verified by a taxonomic editor:Oostende BR
Unreviewed: has not been verified by a taxonomic editor:Wenduine BR
Unreviewed: has not been verified by a taxonomic editor:Zeebrugge BR
France
Unreviewed: has not been verified by a taxonomic editor:Wimereux BR
Ireland
Unreviewed: has not been verified by a taxonomic editor:Irish Exclusive economic Zone BR
Mediterranean Sea
Unreviewed: has not been verified by a taxonomic editor:Mediterranean Sea BR
Mediterranean Sea - Eastern Basin
Unreviewed: has not been verified by a taxonomic editor:Greek Exclusive Economic Zone BR
Mediterranean Sea - Western Basin
Unreviewed: has not been verified by a taxonomic editor:Algiers Bay BR
Unreviewed: has not been verified by a taxonomic editor:Tunis Gulf BR
North Atlantic Ocean
Unreviewed: has not been verified by a taxonomic editor:Canaries BR
Unreviewed: has not been verified by a taxonomic editor:European waters (ERMS scope) BR
Unreviewed: has not been verified by a taxonomic editor:United Kingdom Exclusive Economic Zone BR
North Sea
Unreviewed: has not been verified by a taxonomic editor:Belgian Exclusive Economic Zone BR
Unreviewed: has not been verified by a taxonomic editor:Dutch Exclusive Economic Zone BR
Unreviewed: has not been verified by a taxonomic editor:Goote Bank BR
Norway
Unreviewed: has not been verified by a taxonomic editor:Norwegian Exclusive Economic Zone BR
Sweden
Unreviewed: has not been verified by a taxonomic editor:Swedish Exclusive Economic Zone BR
Ukraine
Unreviewed: has not been verified by a taxonomic editor:Ukrainian Exclusive Economic Zone BR
United Kingdom
Unreviewed: has not been verified by a taxonomic editor:British Isles BR",all points should be marine (might be easier to fix in polygon-making stage),fine,intertidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stegastes acapulcoensis,,IUCN,Y,,IUCN,,http://maps.iucnredlist.org/map.html?id=183431,,remove.use.IUCN,marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stemonyphantes lineatus,,,,,SRS British Spiders,,The species is widespread in much of England but scattered and patchy in some areas and more scattered in Wales and Scotland. It is widespread in north-western and central Europe.,,excl.points,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenamma impar,,,,,AntWiki,,"Massachusetts to Georgia, west to North Dakota, Illinois, and Missouri (Smith 1957).",too few points,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stenocara dentata,,NO GBIF,,,none,,apparently it occurs on Southern Africa,NO GBIF,remove,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
