genus_species,latitude,longitude
Micropterus punctulatus,35.66,-97.47
Micropterus salmoides,NA,NA
Micropterus salmoides,34.18,-111.71
Micropterus salmoides,45.55,-92.39
Micropterus salmoides,34.45,-96.64
Micropterus salmoides,41.65,-82.83
Micropterus salmoides,35.96,-83.92
Micropterus salmoides,29.48,-81.68
Micropterus salmoides,38.34,-90.37
Micropterus salmoides,35.66,-97.47
Micropterus salmoides,42.08,-81.34
Micropterus salmoides,46.78,-94.7
Pomoxis annularis,42.08,-81.34
Pomoxis annularis,39.4,-106.51
Pomoxis nigromaculatus,42.08,-81.34
Pomoxis nigromaculatus,40.2,-89.47
Pomoxis nigromaculatus,46.78,-94.7
Lates calcarifer,11.49,79.77
Lates calcarifer,-12.83,132.86
Gymnocharacinus bergii,-40.93,-66.57
Gymnocharacinus bergii,NA,NA
Etroplus suratensis,11.49,79.76
Etroplus suratensis,11.49,79.77
Oreochromis mossambicus,-24.96,29.3
Oreochromis mossambicus,27.89,-81.41
Alosa pseudoharengus,43.49,-87.24
Alosa pseudoharengus,42.08,-81.34
Dorosoma cepedianum,41.65,-82.83
Dorosoma cepedianum,35.96,-83.92
Dorosoma cepedianum,38.34,-90.37
Dorosoma cepedianum,42.08,-81.34
Sardinops sagax,31.86,-116.6
Sardinops sagax,34.49,138.16
Cottus bairdii,42.6,-78.47
Cottus bairdii,34.19,-84.95
Cottus carolinae,40.03,-76.27
Cottus carolinae,34.6,-84.7
Cottus gobio,54.47,-1.18
Cottus gobio,54.43,-3.02
Cottus gobio,54.4,-2.92
Agosia chrysogaster,NA,NA
Agosia chrysogaster,33.08,-108.46
Campostoma anomalum,36.94,-81.05
Campostoma anomalum,NA,NA
Campostoma anomalum,35.66,-97.47
Campostoma anomalum,39.97,-82.81
Carassius auratus,33.22,-97.15
Carassius auratus,35.66,-97.47
Carassius auratus,42.08,-81.34
Carassius carassius,NA,NA
Carassius carassius,52.34,18.35
Chrosomus erythrogaster,NA,NA
Chrosomus erythrogaster,36.16,-105.2
Couesius plumbeus,59.43,-126.09
Couesius plumbeus,59.4,-133.58
Couesius plumbeus,51.38,-121.26
Ctenopharyngodon idella,34.95,-92.49
Ctenopharyngodon idella,26.47,99.15
Cyprinella lutrensis,NA,NA
Cyprinella lutrensis,37.2,-113.26
Cyprinella lutrensis,35.66,-97.47
Cyprinella lutrensis,34.86,-96.73
Cyprinella lutrensis,33.06,-101.04
Cyprinella lutrensis,33.17,-97.32
Cyprinella lutrensis,33.21,-97.15
