internalTaxonId,scientificName,name,language,main
13452,Microtus pennsylvanicus,Chihuahua Vole,English,true
13487,Microtus townsendii,Triangle Island Vole,English,false
13487,Microtus townsendii,Townsend's Vole,English,true
13972,Mus musculus,Ratón Casero,Spanish; Castilian,false
13972,Mus musculus,Souris domestique,French,false
13972,Mus musculus,House Mouse,English,true
23192,Zapus trinotatus,Pacific Jumping Mouse,English,false
23192,Zapus trinotatus,Point Reyes Jumping Mouse,English,false
41389,Sorex bendirii,Pacific Water Shrew,English,false
41389,Sorex bendirii,Marsh Shrew,English,true
41392,Sorex cinereus,Masked Shrew,English,false
41392,Sorex cinereus,Cinereus Shrew,English,true
41405,Sorex monticolus,Dusky Shrew,English,false
41405,Sorex monticolus,Montane Shrew,English,false
41410,Sorex palustris,American Water Shrew,English,false
41410,Sorex palustris,Water Shrew,English,false
41421,Sorex trowbridgii,Trowbridge's Shrew,English,false
41425,Sorex vagrans,Vagrant Shrew,English,false
41468,Neurotrichus gibbsii,American Shrew-mole,English,false
41468,Neurotrichus gibbsii,American Shrew Mole,English,false
41468,Neurotrichus gibbsii,Shrew-mole,English,true
41474,Scapanus orarius,Coast Mole,English,false
42569,Neotamias amoenus,Yellow-pine Chipmunk,English,true
42584,Neotamias townsendii,Townsend's Chipmunk,English,true
42586,Tamiasciurus douglasii,Douglas's Squirrel,English,false
42587,Tamiasciurus hudsonicus,Mountain Weasel,English,false
42587,Tamiasciurus hudsonicus,Mount Graham Red Squirrel,English,false
42587,Tamiasciurus hudsonicus,Red Squirrel,English,true
42617,Myodes gapperi,Revillagigedo Island Red-backed Vole,English,false
42617,Myodes gapperi,Southern Red-backed Vole,English,true
42627,Microtus longicaudus,Long-tailed Vole,English,false
42627,Microtus longicaudus,San Bernardino Long-tailed Vole,English,false
42632,Microtus oregoni,Creeping Vole,English,true
42634,Microtus richardsoni,Water Vole,English,false
42636,Phenacomys intermedius,Western Heather Vole,English,false
42673,Neotoma cinerea,Bushy-talied Woodrat,English,false
42673,Neotoma cinerea,Packrat,English,false
42673,Neotoma cinerea,Woodrat,English,false
42673,Neotoma cinerea,Bushy-tailed Woodrat,English,true
154635,Lestidiops ringens,Slender Barracudina,English,false
154635,Lestidiops ringens,Slank lakstobis,Danish,false
154755,Genyonemus lineatus,Croaker,English,false
154755,Genyonemus lineatus,King Croaker,English,false
154755,Genyonemus lineatus,Kingfish,English,false
154755,Genyonemus lineatus,King-fish,English,false
154755,Genyonemus lineatus,Roncador,English,false
154755,Genyonemus lineatus,Tomcod,English,false
154755,Genyonemus lineatus,Corvineta Blanca,Spanish; Castilian,false
154755,Genyonemus lineatus,Courbine Blanche,French,false
154755,Genyonemus lineatus,Kulbiniec kalifornijski,Polish,false
154755,Genyonemus lineatus,Maigre Argenté,French,false
154755,Genyonemus lineatus,Rabeta-branca,Portuguese,false
154755,Genyonemus lineatus,Roncador Blanco,Spanish; Castilian,false
154755,Genyonemus lineatus,Shiroguchi,Japanese,false
154755,Genyonemus lineatus,Weißer Umberfisch,German,false
154755,Genyonemus lineatus,White Croaker,English,true
154845,Lyopsetta exilis,Slender Sole,English,false
154845,Lyopsetta exilis,Platija Delgada,Spanish; Castilian,false
154845,Lyopsetta exilis,Platija Flaca,Spanish; Castilian,false
154866,Pholis ornata,Saddleback Gunnel,English,false
154866,Pholis ornata,Saddled Blenny,English,false
154866,Pholis ornata,Ayaginpo,Japanese,false
154866,Pholis ornata,Saddel-tangspræl,Danish,false
154866,Pholis ornata,Sadel-tangspræl,Danish,false
154866,Pholis ornata,маслюк разукрашенный,Russian,false
155009,Pseudobathylagus milleri,Big-scaled Black Smelt,English,false
155009,Pseudobathylagus milleri,Robust Blacksmelt,English,false
155009,Pseudobathylagus milleri,Batilag,Russian,false
155009,Pseudobathylagus milleri,Kuro-soko-iwashi,Japanese,false
155009,Pseudobathylagus milleri,Syvännekuore,Undetermined,false
155009,Pseudobathylagus milleri,Stout Blacksmelt,English,true
155179,Rhacochilus vacca,Dusky Sea-perch,English,false
155179,Rhacochilus vacca,Pile Seaperch,English,false
155179,Rhacochilus vacca,Pile Surfperch,English,false
155179,Rhacochilus vacca,K'aay kuul kyaadsiid,Undetermined,false
155179,Rhacochilus vacca,Mojarra Muellera,Spanish; Castilian,false
155179,Rhacochilus vacca,Perca,Spanish; Castilian,false
155179,Rhacochilus vacca,Szumien waka,Polish,false
155179,Rhacochilus vacca,Uuusduu,Undetermined,false
155179,Rhacochilus vacca,Pile Perch,English,true
155216,Icelinus filamentosus,Filamented Sculpin,English,false
155216,Icelinus filamentosus,Threadfin Sculpin,English,true
190452,Naucrates ductor,Pilot,English,false
190452,Naucrates ductor,Pilot-fish,English,false
190452,Naucrates ductor,Pilot Fish,English,false
190452,Naucrates ductor,Sucker,English,false
190452,Naucrates ductor,Pez Piloto,Spanish; Castilian,false
190452,Naucrates ductor,Pez Simón,Spanish; Castilian,false
190452,Naucrates ductor,Pilote,French,false
190452,Naucrates ductor,Pilotfish,Spanish; Castilian,false
190452,Naucrates ductor,Piloto,Spanish; Castilian,false
190452,Naucrates ductor,Poisson Pilote,French,false
190452,Naucrates ductor,Poisson Pilote,French,false
190452,Naucrates ductor,Romero,Spanish; Castilian,false
190452,Naucrates ductor,Pilotfish,English,true
195038,Lampris guttatus,Arokura,English,false
195038,Lampris guttatus,Cravo,English,false
195038,Lampris guttatus,Glacefish,English,false
195038,Lampris guttatus,Gudlax,English,false
195038,Lampris guttatus,Jerusalem Haddock,English,false
195038,Lampris guttatus,Kingfish,English,false
195038,Lampris guttatus,Mariposa,English,false
195038,Lampris guttatus,Moonfish,English,false
195038,Lampris guttatus,Ocean Moonfish,English,false
195038,Lampris guttatus,Opal Fish,English,false
195038,Lampris guttatus,San Pedrofish,English,false
195038,Lampris guttatus,Spotted Moonfish,English,false
